1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
105,745.278374,19,38,26,22,57,25.55240139,31.19769938,17.2314454,1.38889,0.548246053,1.38889,0.630342385,0.534947196
183,609.72271,85,37,35,26,42,11.99454511,22.3979771,12.93028529,4.444448,0.668168703,1.944446,0.603175086,0.536426773
186,404.16699,141,18,9,18,40,7.822586903,32.3333592,14.43553146,3.611114,0.617284444,2.222224,0.833334,0.385836324
97,313.055806,49,26,16,6,43,11.618566,23.47918545,13.68426963,4.444448,0.779915154,2.222224,1.0416675,0.773694996
113,68.05561,97,4,5,7,17,2.168143327,15.31251225,5.404863311,4.16667,1.38889,0.555556,0.3888892,0.414366688
239,1001.111912,133,44,35,27,54,15.07950997,34.0000272,19.56539235,3.611114,0.606061091,6.111116,0.746032343,0.65456325
72,424.444784,17,17,18,20,51,21.2222392,27.78184041,19.4351375,7.500006,0.915033412,4.16667,0.787037667,1.122462761
69,349.444724,8,22,22,17,30,18.23189864,20.62296732,8.609408205,3.055558,0.643939909,1.111112,0.467172091,0.587788483
164,865.834026,58,43,34,29,43,19.00611277,29.4056839,15.64228066,3.611114,0.581395814,2.77778,0.702614941,0.605599771
50,290.27801,4,21,7,18,39,20.90001672,22.71740948,11.51795404,1.944446,0.595238571,6.111116,1.150794571,1.004747767
142,365.000292,101,19,11,11,42,9.25352853,32.04880613,15.38924586,3.611114,0.628655474,3.055558,0.959596727,0.521263467
110,639.444956,30,38,24,18,45,20.92728947,28.77502302,15.4199377,2.222224,0.540936105,6.388894,0.810185833,0.794716265
118,510.278186,29,28,35,26,29,15.56780906,20.64046595,10.48195748,3.333336,0.684524357,1.944446,0.515873429,0.593754326
74,269.44466,9,26,23,16,26,13.10811859,14.92308886,8.96655516,2.500002,0.715812538,3.333336,0.664251739,0.739293157
175,112.222312,160,9,5,1,34,2.308573275,26.93335488,7.817361,3.888892,1.111112,2.500002,1.1666676,0.427106764
119,286.944674,69,19,18,13,31,8.680679213,20.66001653,11.16815446,3.611114,0.687135053,1.944446,0.663580778,0.542340885
52,14.166678,48,2,0,2,13,0.980770015,12.7500102,3.4327739,3.333336,1.805557,0,0,0.473038889
106,350.555836,56,17,18,15,33,11.9056699,25.24002019,13.16527055,4.722226,0.784314353,1.38889,0.540123889,0.588626239
266,512.50041,176,36,30,24,28,6.936095774,20.5000164,10.32818337,3.611114,0.540123889,1.38889,0.601852333,0.371814612
340,1767.223636,18,108,103,111,34,18.71177968,19.75777978,8.109092632,1.944446,0.514403704,1.944446,0.507012272,0.476357151
112,303.611354,73,13,8,18,32,9.758936379,28.02566345,13.75280187,4.444448,0.726496308,0.833334,0.694445,0.491225299
94,89.722294,63,10,11,10,17,3.436172962,10.41936317,5.413162991,3.611114,0.7222228,1.111112,0.555556,0.454225474
291,2794.168902,26,66,50,149,53,34.56703796,37.95852093,18.27504831,1.111112,0.374579424,1.944446,0.46111148,0.314303913
165,1123.334232,10,54,40,61,33,24.50911052,26.09034345,7.453611158,1.944446,0.390946815,1.666668,0.42361145,0.374957694
112,345.000276,60,16,15,21,32,11.08929459,23.88463449,12.93612413,3.888892,0.572917125,1.111112,0.518518933,0.450246583
97,620.83383,14,30,25,28,39,23.04125555,26.92773239,12.0648573,2.77778,0.564815267,1.944446,0.62222272,0.58614657
112,706.389454,15,36,23,38,40,22.70537531,26.21651582,13.33736767,1.38889,0.4861115,1.944446,0.615942522,0.478200806
235,1633.056862,98,33,28,76,51,25.01704129,42.91244309,22.04520723,3.611114,0.505050909,1.111112,0.446428929,0.344799884
184,1706.112476,51,44,26,63,58,33.38046149,46.18048807,22.94485782,4.16667,0.479798364,2.500002,0.737180077,0.505616
240,2249.724022,21,80,61,78,56,33.74586033,36.98176475,17.18877417,1.944446,0.399305875,1.944446,0.505464885,0.430633075
