Path, Class
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub0.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub1.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub10.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub100.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub101.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub102.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub103.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub104.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub105.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub11.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub12.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub13.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub14.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub15.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub16.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub17.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub18.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub19.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub2.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub20.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub21.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub22.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub23.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub24.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub25.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub26.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub27.points,bathtub
D:\PointNet\PointNet-PyTorch-master\data\ModelNet10_\bathtub\train\bathtub28.points,bathtub
