Train 0, loss: 2.689309, train acc: 0.450777, train avg acc: 0.239456
Train 1, loss: 2.184874, train acc: 0.647465, train avg acc: 0.469325
Train 2, loss: 2.055680, train acc: 0.707711, train avg acc: 0.552603
Train 3, loss: 1.980094, train acc: 0.742761, train avg acc: 0.600895
Train 4, loss: 1.948088, train acc: 0.751092, train avg acc: 0.618931
Train 5, loss: 1.898442, train acc: 0.773341, train avg acc: 0.647950
Train 6, loss: 1.883726, train acc: 0.777608, train avg acc: 0.655503
Train 7, loss: 1.853627, train acc: 0.791730, train avg acc: 0.674629
Train 8, loss: 1.844147, train acc: 0.794880, train avg acc: 0.679760
Train 9, loss: 1.822484, train acc: 0.802906, train avg acc: 0.692059
Train 10, loss: 1.806789, train acc: 0.814589, train avg acc: 0.712895
Train 11, loss: 1.795518, train acc: 0.818754, train avg acc: 0.717698
Train 12, loss: 1.790111, train acc: 0.823631, train avg acc: 0.724111
Train 13, loss: 1.778770, train acc: 0.828508, train avg acc: 0.732580
Train 14, loss: 1.755707, train acc: 0.836534, train avg acc: 0.745163
Train 15, loss: 1.749829, train acc: 0.835822, train avg acc: 0.745348
Train 16, loss: 1.748027, train acc: 0.837956, train avg acc: 0.747293
Train 17, loss: 1.743656, train acc: 0.840597, train avg acc: 0.753670
Train 18, loss: 1.730788, train acc: 0.843747, train avg acc: 0.758576
Train 19, loss: 1.686632, train acc: 0.860916, train avg acc: 0.782346
Train 20, loss: 1.659567, train acc: 0.874733, train avg acc: 0.805746
Train 21, loss: 1.656550, train acc: 0.876664, train avg acc: 0.807193
Train 22, loss: 1.651194, train acc: 0.879915, train avg acc: 0.814178
Train 23, loss: 1.644759, train acc: 0.878696, train avg acc: 0.809877
Train 24, loss: 1.639616, train acc: 0.884588, train avg acc: 0.820489
Train 25, loss: 1.632161, train acc: 0.891700, train avg acc: 0.826803
Train 26, loss: 1.632401, train acc: 0.884080, train avg acc: 0.818257
Train 27, loss: 1.622819, train acc: 0.889566, train avg acc: 0.826750
Train 28, loss: 1.627498, train acc: 0.889769, train avg acc: 0.830516
Train 29, loss: 1.630013, train acc: 0.888245, train avg acc: 0.826490
Train 30, loss: 1.613329, train acc: 0.894849, train avg acc: 0.836485
Train 31, loss: 1.614103, train acc: 0.890684, train avg acc: 0.831947
Train 32, loss: 1.613032, train acc: 0.893732, train avg acc: 0.837516
Train 33, loss: 1.605097, train acc: 0.896779, train avg acc: 0.838778
Train 34, loss: 1.600721, train acc: 0.897592, train avg acc: 0.840576
Train 35, loss: 1.598022, train acc: 0.900335, train avg acc: 0.846134
Train 36, loss: 1.593653, train acc: 0.903586, train avg acc: 0.849346
Train 37, loss: 1.599548, train acc: 0.899827, train avg acc: 0.845547
