Train 0, loss: 2.725995, train acc: 0.429849, train avg acc: 0.236350
Train 1, loss: 2.388358, train acc: 0.559789, train avg acc: 0.363105
Train 2, loss: 2.287673, train acc: 0.597582, train avg acc: 0.407353
Train 3, loss: 2.236688, train acc: 0.620035, train avg acc: 0.434262
Train 4, loss: 2.176933, train acc: 0.645636, train avg acc: 0.471627
Train 5, loss: 2.153079, train acc: 0.658641, train avg acc: 0.483719
Train 6, loss: 2.121959, train acc: 0.668902, train avg acc: 0.499062
Train 7, loss: 2.106922, train acc: 0.674896, train avg acc: 0.510758
Train 8, loss: 2.083138, train acc: 0.689018, train avg acc: 0.530892
Train 9, loss: 2.067109, train acc: 0.689627, train avg acc: 0.526776
Train 10, loss: 2.049810, train acc: 0.698568, train avg acc: 0.542459
Train 11, loss: 2.048549, train acc: 0.701006, train avg acc: 0.546264
Train 12, loss: 2.037252, train acc: 0.708219, train avg acc: 0.561428
Train 13, loss: 2.019647, train acc: 0.711064, train avg acc: 0.563346
Train 14, loss: 2.009369, train acc: 0.719394, train avg acc: 0.573354
Train 15, loss: 1.997067, train acc: 0.714112, train avg acc: 0.567607
Train 16, loss: 2.001842, train acc: 0.721731, train avg acc: 0.577931
Train 17, loss: 1.990605, train acc: 0.722747, train avg acc: 0.581488
Train 18, loss: 1.987472, train acc: 0.725287, train avg acc: 0.581924
Train 19, loss: 1.933878, train acc: 0.744590, train avg acc: 0.609595
Train 20, loss: 1.909524, train acc: 0.755156, train avg acc: 0.625389
